# l [deg], b [deg], Radius [arcmin]
2.276179166071768023e+01,-4.829550416536776414e-01,5.000000000000000000e+00
1.904106893161237934e+01,-4.289415735407402508e-01,5.000000000000000000e+00
1.892567554300228494e+01,-4.440969794418573313e-01,5.000000000000000000e+00
1.818770289959721964e+01,-3.975252158298209770e-01,5.000000000000000000e+00
1.830091834417110519e+01,-3.884800322828260155e-01,5.000000000000000000e+00
2.829576589175589518e+01,-3.787882294504075209e-01,5.000000000000000000e+00
2.859422581071237701e+01,-3.670892433910123986e-01,5.000000000000000000e+00
2.298466380664716979e+01,-3.593981911493049908e-01,5.000000000000000000e+00
2.538138300493922728e+01,-3.442733739024399497e-01,5.000000000000000000e+00
2.527336025452033041e+01,-3.074784384084893185e-01,5.000000000000000000e+00
2.324794511350047443e+01,-2.852880324014853697e-01,5.000000000000000000e+00
2.295218055491922371e+01,-3.319116931200097320e-01,5.000000000000000000e+00
1.825892883785231291e+01,-2.977432365240122447e-01,5.000000000000000000e+00
1.814596318521100926e+01,-2.857045361516479809e-01,5.000000000000000000e+00
3.049818836528697474e+01,-2.756649996332495300e-01,5.000000000000000000e+00
1.906956489038809366e+01,-2.737389390986861293e-01,5.000000000000000000e+00
3.069917039724821706e+01,-2.665860329281091734e-01,5.000000000000000000e+00
3.141809256487429991e+01,-2.556144425006390275e-01,5.000000000000000000e+00
2.276731523599885776e+01,-2.574192354085332313e-01,5.000000000000000000e+00
3.039741452154798296e+01,-2.422640099810846881e-01,5.000000000000000000e+00
2.324060855313786789e+01,-2.533588332248701835e-01,5.000000000000000000e+00
1.960895587079495428e+01,-2.339847226485287091e-01,5.000000000000000000e+00
2.882325360849467444e+01,-2.280585108741879363e-01,5.000000000000000000e+00
2.452469651197237965e+01,-2.353306012229977318e-01,5.000000000000000000e+00
1.822378382657429796e+01,-2.306934303915070261e-01,5.000000000000000000e+00
3.227435747329178639e+01,-2.126917745851028552e-01,5.000000000000000000e+00
2.342349179539734649e+01,-2.081341772849946981e-01,5.000000000000000000e+00
2.473357693823562897e+01,-1.982178583502506308e-01,5.000000000000000000e+00
1.642845832326282363e+01,-1.973446987064860214e-01,5.000000000000000000e+00
1.630985944129881915e+01,-1.648256044678532983e-01,5.000000000000000000e+00
2.538894283210726499e+01,-1.671046426908409654e-01,5.000000000000000000e+00
2.468342647709847526e+01,-1.535331712124928250e-01,5.000000000000000000e+00
2.069880379101899592e+01,-1.236285102117555684e-01,5.000000000000000000e+00
2.007354897475123323e+01,-1.367530825585082932e-01,5.000000000000000000e+00
1.964542062060547067e+01,-1.363251809833604111e-01,5.000000000000000000e+00
1.961284406388827151e+01,-1.261220748955496629e-01,5.000000000000000000e+00
2.386934179389213995e+01,-1.190092297681873967e-01,5.000000000000000000e+00
2.471478944216399043e+01,-1.122567881040904963e-01,5.000000000000000000e+00
2.073715529565819082e+01,-8.733769819915436494e-02,5.000000000000000000e+00
2.610997867494394242e+01,-5.864771764843457191e-02,5.000000000000000000e+00
2.993350096311802844e+01,-4.053042252044756349e-02,5.000000000000000000e+00
2.421191864997670606e+01,-5.091734539685884714e-02,5.000000000000000000e+00
3.071686793840091312e+01,-3.905703053323838353e-02,5.000000000000000000e+00
2.450875527144666677e+01,-3.915931116670055834e-02,5.000000000000000000e+00
2.353794084247740059e+01,-3.569487607981946392e-02,5.000000000000000000e+00
2.801917169219106185e+01,-3.906504114468711125e-02,5.000000000000000000e+00
1.895184684956187837e+01,-2.378938910954224786e-02,5.000000000000000000e+00
1.845659979012318530e+01,-8.248603757483190940e-03,5.000000000000000000e+00
2.859117913742890238e+01,4.411242547074741525e-03,5.000000000000000000e+00
1.460920899844550824e+01,2.367985256052194953e-02,5.000000000000000000e+00
3.054366018941621519e+01,1.894292507488127414e-02,5.000000000000000000e+00
2.570446830586234910e+01,3.350518698801280282e-02,5.000000000000000000e+00
2.868125327693349647e+01,3.566918766132395197e-02,5.000000000000000000e+00
2.885929932309343116e+01,5.017752948263033003e-02,5.000000000000000000e+00
3.106043045074041586e+01,6.036733973479394000e-02,5.000000000000000000e+00
2.439013993277944792e+01,7.319648864579690606e-02,5.000000000000000000e+00
2.098282984116501027e+01,9.556931364251913807e-02,5.000000000000000000e+00
2.481476010860949799e+01,9.724774570225289128e-02,5.000000000000000000e+00
1.462376122433754055e+01,9.328868166001708095e-02,5.000000000000000000e+00
3.215469796029253757e+01,1.319369802068932618e-01,5.000000000000000000e+00
3.085711068658733325e+01,1.249706900314803415e-01,5.000000000000000000e+00
1.947781599917910000e+01,1.412474057278667872e-01,5.000000000000000000e+00
2.727446584828354759e+01,1.514503823831136464e-01,5.000000000000000000e+00
2.395572726092908411e+01,1.524750871870129976e-01,5.000000000000000000e+00
2.880002158168892734e+01,1.711433785641700567e-01,5.000000000000000000e+00
2.370601325422902406e+01,1.734316460992021414e-01,5.000000000000000000e+00
2.749278885394385341e+01,1.888550408419837623e-01,5.000000000000000000e+00
2.419101031060949225e+01,2.077991475762504814e-01,5.000000000000000000e+00
2.448580073387882905e+01,2.194484381438706888e-01,5.000000000000000000e+00
2.577907019840329639e+01,2.234325099577176010e-01,5.000000000000000000e+00
2.381297224488936237e+01,2.234913986093984561e-01,5.000000000000000000e+00
3.113368164262112003e+01,2.836963292880813614e-01,5.000000000000000000e+00
3.141165371987013799e+01,3.065906744644713577e-01,5.000000000000000000e+00
2.653575876161242419e+01,4.158019562800968627e-01,5.000000000000000000e+00
3.105041027933990705e+01,4.795533761592497557e-01,5.000000000000000000e+00
2.447067602854731305e+01,4.928358369874855649e-01,5.000000000000000000e+00
